id;code;code_secteur;secteur;code_sous_secteur;sous_secteur;nom;version;date_debut;date_fin;metropole;outre_mer;no_version
BAR-TH-102v17-1;BAR-TH-102;BAR;Bâtiment Résidentiel;TH;Thermique;Chauffe-eau solaire collectif (France métropolitaine);A17-1;01/01/2015;;1;0;1
BAR-TH-104v14-1;BAR-TH-104;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/eau ou eau/eau;A14-1;01/01/2015;31/01/2017;1;1;1
BAR-TH-104v23-2;BAR-TH-104;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/eau ou eau/eau;A23-2;01/02/2017;31/03/2022;1;1;2
BAR-TH-104v41-3;BAR-TH-104;BAR;Bâtiment Résidentiel;TH;Thermique;Pompe à chaleur de type air/eau ou eau/eau;A41-3;01/04/2022;;1;1;3
BAR-TH-106v14-1;BAR-TH-106;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière individuelle à haute performance énergétique;A14-1;01/01/2015;31/01/2017;1;1;1
BAR-TH-106v23-2;BAR-TH-106;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière individuelle à haute performance énergétique;A23-2;01/02/2017;;1;1;2
BAR-TH-107v14-1;BAR-TH-107;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière collective haute performance énergétique;A14-1;01/01/2015;;1;1;1
BAR-TH-107-SEv14-1;BAR-TH-107-SE;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l'installation;A14-1;01/01/2015;;1;1;1
BAR-TH-110v16-1;BAR-TH-110;BAR;Bâtiment Résidentiel;TH;Thermique;Radiateur basse température pour un chauffage central;A16-1;01/01/2015;;1;1;1
BAR-TH-111v17-1;BAR-TH-111;BAR;Bâtiment Résidentiel;TH;Thermique;Régulation par sonde de température extérieure;A17-1;01/01/2015;;1;1;1
BAR-TH-112v14-1;BAR-TH-112;BAR;Bâtiment Résidentiel;TH;Thermique;Appareil indépendant de chauffage au bois;A14-1;01/01/2015;30/09/2020;1;1;1
BAR-TH-112v35-2;BAR-TH-112;BAR;Bâtiment Résidentiel;TH;Thermique;Appareil indépendant de chauffage au bois;A35-2;01/10/2020;30/09/2022;1;1;2
BAR-TH-112v46-3;BAR-TH-112;BAR;Bâtiment Résidentiel;TH;Thermique;Appareil indépendant de chauffage au bois;A46-3;01/10/2022;;1;1;3
BAR-TH-113v14-1;BAR-TH-113;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière biomasse individuelle;A14-1;01/01/2015;31/03/2021;1;1;1
BAR-TH-113v37-2;BAR-TH-113;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière biomasse individuelle;A37-2;01/04/2021;31/03/2022;1;1;2
BAR-TH-113v41-3;BAR-TH-113;BAR;Bâtiment Résidentiel;TH;Thermique;Chaudière biomasse individuelle;A41-3;01/04/2022;;1;1;3
BAR-TH-115v16-1;BAR-TH-115;BAR;Bâtiment Résidentiel;TH;Thermique;Isolation d'un réseau hydraulique de chauffage;A16-1;01/01/2015;12/03/2016;1;1;1
