code_fiche;code_bonification;date_debut;date_fin;date_limite_engagement;date_limite_achevement
BAR-EQ-114;ETS;2015-01-01;2018-12-31;2021-12-31;2025-12-31
BAR-EQ-115;ETS;2019-01-01;;2021-12-31;2025-12-31
BAR-SE-104;ETS;2016-01-04;;2021-12-31;2025-12-31
BAR-SE-105;ETS;2018-12-19;;2021-12-31;2025-12-31
BAR-SE-106;ETS;2020-04-01;;2021-12-31;2025-12-31
BAR-SE-107;ETS;2020-12-31;;2021-12-31;2025-12-31
BAR-SE-108;ETS;2022-10-14;;2021-12-31;2025-12-31
BAR-SE-109;ETS;2023-09-30;;2021-12-31;2025-12-31
BAR-TH-101;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-102;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-104;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-106;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-107;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-107-SE;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-110;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-111;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-112;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-113;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-115;ETS;2015-01-01;2018-03-31;2021-12-31;2025-12-31
BAR-TH-116;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-117;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-118;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-121;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
BAR-TH-122;ETS;2015-01-01;;2021-12-31;2025-12-31
BAR-TH-123;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-124;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
BAR-TH-125;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-127;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-129;ETS;2015-01-01;2018-03-31;2021-12-31;2025-12-31
BAR-TH-130;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-131;ETS;2015-01-01;2018-03-31;2021-12-31;2025-12-31
BAR-TH-135;ETS;2015-01-01;2020-09-30;2021-12-31;2025-12-31
BAR-TH-137;ETS;2015-01-01;2021-12-23;2021-12-31;2025-12-31
BAR-TH-139;ETS;2015-01-01;2017-01-31;2021-12-31;2025-12-31
